Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type
HTZ,"Thanks again for $TSLA and $AMZN ????
https://t.co/skw3k1DLAb

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $SHOP $BBAR $STNG $GLUU $ZNGA $AAL $CACC $ESE $SPCE $FCEL $TRIP $BYND $MRNA $NOK $OXY $CCL $CRON $RCL $DGLY $HTZ $PENN $GMBL $CRNC $RGR $KTOV $GNUS $BA $FCEL $ZI $Z $ZM $NVDA $GDLC https://t.co/87a8MCdViV",xadabo23,07/09/2020,0,Tweet,0,0,photo
HTZ,"For best alerts daily, join us!

Discord:
https://t.co/skw3k1DLAb

$DSA $KODK $DOW $GNUS $IDEX $boxl $BIOC $TSLA $TAOP $JFK $CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $AAPL $ESE $SPCE $FCEL $BYND $MRNA $NOK $OXY $CCL $CRM $DGLY $HTZ $Aapl $GMBL $FB https://t.co/SRv318Soey",xadabo23,07/09/2020,0,Tweet,0,0,photo
HTZ,"We proide Daily alerts, Analysis ! ??

Join us https://t.co/ER5pV5cQej ??

$DSA $KODK $DOW $GNUS $IDEX $boxl $BIOC $TSLA $TAOP $JFK $CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $AAPL $ESE $SPCE $FCEL $BYND $MRNA $NOK $OXY $CCL $CRM $DGLY $HTZ $Aapl $GMBL $FB https://t.co/qAqrpLBKlJ",Will,07/09/2020,0,Tweet,0,0,photo
HTZ,"RT @ptxnud : Hi Softbank. Have you checked $HTZ, it's a car sharing firm with centralized supply https://t.co/ZOJe8TZlEX",Joe Gambiste,07/09/2020,0,Retweet,0,0,
HTZ,"RT @ToneTonevaysss : We discussed @Hertz stock $HTZ in yesterday's #Bitcoin  Brief w/ @jimmysong &amp; @christinenews where I said @SEC_Enforcement will step in to prevent stupidity of @RobinhoodApp baby traders ??
Full Video: https://t.co/zNX6hegOos… https://t.co/dIVLdYlV7d",Joe Gambiste,07/09/2020,0,Retweet,1,5,video
HTZ,"@StockMarketHats Saw it on Twitter and reddit/online quite a bit back in the $htz mania. 

People encouraging others to speculative buy the next companies that would file chapter 11",Charlie Corke,07/09/2020,0,Reply,0,1,
HTZ,"Hi Softbank. Have you checked $HTZ, it's a car sharing firm with centralized supply https://t.co/ZOJe8TZlEX",Bengs!,07/09/2020,1,Tweet,0,0,
HTZ,"RT @ToneTonevaysss : We discussed @Hertz stock $HTZ in yesterday's #Bitcoin  Brief w/ @jimmysong &amp; @christinenews where I said @SEC_Enforcement will step in to prevent stupidity of @RobinhoodApp baby traders ??
Full Video: https://t.co/zNX6hegOos… https://t.co/dIVLdYlV7d",Tone vays - TheFinancialSummit.com,07/09/2020,0,Retweet,1,5,video
HTZ,RT @BradHuston : Rumor:  Hertz to be named the official rental car of the Federal Reserve.  $HTZ $HTZQ,Taylor the 8th ??,07/09/2020,0,Retweet,0,0,
HTZ,RT @thehonestcroock : Last chance to take advantage of @EvolvedTrader discount...we nailed $HTZ $BYND $ZM $GSX in just a week or so since launch! Huge opportunity to grow your accounts via options  :) https://t.co/93WFBglkfq,Taylor the 8th ??,07/09/2020,0,Retweet,0,1,
HTZ,RT @Louis14076301 : @thehonestcroock  hey mark i. In your options boootcamp and i gotta say im feeling so encouraged right now . Ive had 2 wins today i made 3700 on $htz and i locked in 1375 on $tsla right before the close . Ive never traded options before still have Lot to learn but thanks this too,Taylor the 8th ??,07/09/2020,0,Retweet,0,1,
HTZ,RT @thehonestcroock : Whole market is looking like a penny stock short squeeze ?? welcome to the game do not drink the kool aid take safe profits and have no regrets.  Sometimes the best shorts become the best Longs ... i.e. $HTZ,Taylor the 8th ??,07/09/2020,0,Retweet,0,0,
HTZ,RT @thehonestcroock : If $HTZ was caused by Robinhooders they must be some rich ass broke people lmao....just another massive short squeeze - licking my chops!!!,Taylor the 8th ??,07/09/2020,0,Retweet,0,0,
HTZ,RT @Akshay_Naheta : The increased participation by retail in the market makes it imperative for the SEC to step in sooner to prevent $HTZ type situations to protect retail investors. One possible quick fix might be to move trading to the OTC market the day a company files for Chapter 11? https://t.co/QIfKG1HLH1,Brewer Shettles,07/09/2020,0,Retweet,0,0,photo
HTZ,@ultimatejingle Just average down - worked well for $HTZ owners ??,Preston Shaw,07/09/2020,0,Reply,0,1,
