Symbol,Text,Name,Date,Favorites,Retweets,Hashtags,Mentions,Media Type
AAL,"RT @Samroth61562816 : MORGAN STANLEY:

""Watch the $GOLD / $OIL RATIO""

BREAKOUT!!

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $uber $nflx $cgc $twtr $crl $cron $ko $sbux $race $spce $jpm $gs $ms https://t.co/kO4mWO7bBp","Healthy,Fit &Amazing",07/09/2020,0,0,0,0,photo
AAL,"$snss $msft $ibio $penn $nkla $rkt $idex $kodk $aal $mara $aapl $mark $gevo $xspa $fb $uavs $evfm $nkla $srne $spaq $novn $ttoo $ktov $shll $vxrt $tsla $spy $wkhs

WE ALERTED $NIO at $6.10 RAN TO $18 (200% GAIN!!) 

Daily Alerts

$15 ONE TIME FEE!

BEAT THAT 
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"???? PRESIDENT REAGAN $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $zm $xlf https://t.co/KRAimmBj6x",Sam rothstein,07/09/2020,0,0,0,0,video
AAL,"???? PRESIDENT TRUMP $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm $xlf https://t.co/7pKkGGQstq",Sam rothstein,07/09/2020,0,0,0,0,video
AAL,"@trish_regan @AmericanAir $AAL shareholder here. 

Keep politics off our planes or I will move my investment and business.",T?h?e? ?R?e?d? ?P?a?n?d?a??????? ?????? •?•??????,07/09/2020,2,1,0,2,
AAL,"$ttoo $snss $msft $ibio $avgr $mrna $fmci $xspa $fb $aal $evfm $novn $idex $kodk $mara $aapl $wkhs $lca $spaq $gevo $shll $spy $ktov $tsla $nio $rkt $nkla $vxrt $amd

WE ALERTED $SRNE at $7 RAN TO $19  (170% GAIN!) 

Daily Alerts

$15 ONE TIME FEE

BEAT THAT
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"I made over $1k to $65k in a month, alerted by... https://t.co/7iN6F9oVxG 

$AAPL $SHLO $SQQQ $TSLA $AAL $QQQ $AMD $AKBA https://t.co/7twTtQAdlB",Donald Peterson,07/09/2020,0,0,0,0,photo
AAL,Here’s How Airlines Can Attract Passengers Again https://t.co/qQux6BtuHK via @YahooFinance $AAL,Captainturk,07/09/2020,0,0,0,1,
AAL,"$rkt $xspa $vvpr $ktov $ttoo $spy $aal $nio $shll $vxrt $msft $mark $tsla $htbx $fb $novn $idex $gevo $avgr $spaq $evfm $aapl $opti $snss $ibio $wkhs $mara $srne

WE ALERTED $CYDY at $3.50 RAN TO $10 (185% GAIN!) 
 
Daily Alerts

$15 ONE TIME FEE!

BEAT THAT 
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"$penn $cydy $rkt $amd $xspa $aal $nio $evfm $idex $dkng $aapl $msft $spaq $srne $tsla $spy $snss $shll $mara $vxrt $uavs $wkhs $ttoo $fb $nkla $ktov $gevo $novn

WE ALERTED $IBIO at $1.45 RAN TO $7.10 (370% GAIN!) 

Daily Alerts

$15 ONE TIME FEE
 
BEAT THAT 
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"Webull weekly Top 5 popular Stocks (From 8/31 to 9/04)
Below are the top 5 most popular stocks on Webull last week.
$AAPL $TSLA $GNUS $AAL $NIO

https://t.co/fDIgU6XmGA https://t.co/ebewrpGSbL",Elle*ShortSqueeze*De,07/09/2020,0,0,0,0,photo
AAL,"2 Facebook Groups

Trading Stocks
https://t.co/1VCrbXwuLZ

ETF Trading
https://t.co/bUC2O8tLKA

$TWTR $TSLA $AAPL $ETSY $BTC $SPCE $VZ $AMD $GROW $QQQ $SPY $NFLX $FB $AMZN $NIO $BABA $UAL $CCL $DAL $AAL $MRNA $WORK $FIT $BA $F $GE $DIS $GPRO $GLD $GDX $MSFT $RKT $VXX $UVXY $VIX https://t.co/g9mWQ436o5",Mark Hruska,07/09/2020,0,0,0,0,photo
AAL,$AAL in Uptrend: Stochastic indicator leaves oversold zone. View odds for this and other indicators: https://t.co/gVfpPpLEm4 #AmericanAirlinesGroup #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/llEVGxPiOg,Tickeron,07/09/2020,0,0,10,0,photo
AAL,"$snss $msft $vvpr $nkla $rkt $kodk $mara $ibio $aapl $mark $gevo $xspa $fb $uavs $evfm $nkla $ttoo $ktov $shll $vxrt $tsla $spaq $spy $wkhs $idex $aal $srne $novn

WE ALERTED $NIO at $6.10 RAN TO $18 (200% GAIN!)  

Daily Alerts 
 
$15 ONE TIME FEE

BEAT THAT
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"Risk comes from not knowing what you are doing. $JNCE $HAS $FXB $ARLO $VOD $ALT $BNO $GP $OXM $GRFS $IWM $LZB $NTRS $EWU $TER $TAP $VZ $LMND $KEYS $AAL | For Stock, Options, Forex and Crypto Trading discussion join https://t.co/AEjWYVbyWB (FREE)",traderead,07/09/2020,0,0,0,0,
AAL,"RT @JakTradeDDS : I cashed out over 11k on option and pennystocking on $AAL, $AAPL, $NIO, $NKLA, $SPY, $UAVS I will report back on Friday. Thank you, @timothysykes and @thehonestcroock  and special thank you to @DocBrianTrades for always be there for me since I started.",Taylor the 8th ??,07/09/2020,0,0,0,3,
AAL,"RT @C_P_Vegas : My best day trading so far! Bought a call option yesterday $AAL 6/19 expiration 10 contracts at .25 sold today at 3.70 for a $3,446 profit thanks to @timothysykes @thehonestcroock  for the lessons! Just getting started on my journey! https://t.co/TDHLYzf68Z",Taylor the 8th ??,07/09/2020,0,0,0,2,photo
AAL,"$ttoo $snss $msft $ibio $avgr $mrna $fmci $xspa $fb $aal $evfm $novn $idex $amd $kodk $mara $aapl $wkhs $lca $gevo $shll $spy $tsla $nio $rkt $nkla  $vxrt $ktov $spaq

WE ALERTED $SRNE at $7 RAN TO $19 (170% GAIN!)

Daily Alerts

$15 ONE TIME FEE

BEAT THAT
???? 
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,"$msft $rlftf $nkla $rkt $kodk $mara $ibio $aapl $mark $gevo $xspa $fb $uavs $evfm $ttoo $ktov $shll $nkla $snss $vxrt $tsla $spaq $spy $wkhs $idex $aal $srne $novn

WE ALERTED $VVPR at $4.48 RAN TO $12 (167% GAIN!)

Daily Alerts

$15 ONE TIME FEE

BEAT THAT  
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,0,0,
AAL,RT @simplywallst : Does anyone else think $AAL is way overpriced? https://t.co/ot0T1QrYAA https://t.co/QbBLKPPNNP https://t.co/SAGOJYi7ll,axinte costel aurelian,07/09/2020,0,0,0,0,photo
